,km_driven,insurance_prem,manufacturer,model,listed_price,car_seller,state,owner_type,car_age,top_features_count
257,36272.0,0,maruti,maruti ertiga,1000000.0,1,maharashtra,1,5,9
258,86835.0,0,maruti,maruti wagon r,185000.0,1,delhi,2,13,8
259,77933.0,0,maruti,maruti wagon r,410000.0,1,gujarat,1,6,9
260,50000.0,0,maruti,maruti celerio,440000.0,0,haryana,1,5,8
261,147265.0,0,maruti,maruti wagon r,300000.0,1,maharashtra,1,9,9
262,26882.0,0,maruti,maruti celerio,479196.0,1,maharashtra,2,6,8
263,130540.0,0,maruti,maruti alto k10,250000.0,1,maharashtra,4,11,8
265,10000.0,0,tata,tata tigor,860000.0,0,uttar pradesh,1,3,9
266,20194.0,0,hyundai,hyundai grand i10 nios,635000.0,1,delhi,1,5,9
267,137372.0,0,maruti,maruti wagon r,200000.0,1,gujarat,1,14,8
268,68005.0,0,maruti,maruti wagon r,450000.0,1,haryana,1,6,9
269,50000.0,0,maruti,maruti swift dzire,500000.0,0,uttar pradesh,1,8,0
270,56080.0,0,maruti,maruti wagon r,255802.0,1,haryana,1,11,9
271,7482.0,0,maruti,maruti ertiga,1100000.0,1,haryana,1,3,9
273,76118.0,0,maruti,maruti alto k10,250000.0,1,maharashtra,2,9,8
274,74045.0,0,maruti,maruti ertiga,650000.0,1,maharashtra,1,11,9
275,55410.0,0,maruti,maruti wagon r,425000.0,1,maharashtra,1,10,9
276,74000.0,0,maruti,maruti ertiga,565000.0,1,maharashtra,1,11,9
277,69110.0,0,maruti,maruti celerio,469000.0,1,haryana,1,7,8
278,120000.0,0,maruti,maruti eeco,400000.0,0,gujarat,3,7,8
280,76630.0,0,maruti,maruti eeco,412000.0,0,gujarat,1,9,8
282,71252.0,0,maruti,maruti ertiga,795000.0,1,maharashtra,1,9,9
284,120000.0,0,toyota,toyota corolla altis,245000.0,0,gujarat,3,15,9
285,12000.0,0,maruti,maruti ertiga,1160000.0,1,maharashtra,1,4,9
286,80000.0,0,maruti,maruti wagon r,455000.0,1,maharashtra,1,8,9
287,100000.0,0,hyundai,hyundai santro,400000.0,0,haryana,1,6,9
289,30000.0,0,maruti,maruti eeco,510000.0,0,uttar pradesh,1,4,8
290,70000.0,0,maruti,maruti wagon r,299000.0,0,haryana,3,11,9
291,70000.0,0,maruti,maruti wagon r,215000.0,0,rajasthan,3,12,9
292,40000.0,0,hyundai,hyundai santro,590000.0,0,maharashtra,1,4,9
293,10000.0,0,tata,tata tiago,794900.0,0,andhra pradesh,1,3,9
294,20000.0,0,maruti,maruti ertiga,1000000.0,0,punjab,2,3,9
295,140000.0,0,hyundai,hyundai santro xing,294000.0,0,uttar pradesh,1,10,0
296,150000.0,0,maruti,maruti eeco,350000.0,0,gujarat,1,10,8
297,5000.0,0,maruti,maruti ertiga,1040000.0,0,bihar,1,3,9
300,30000.0,0,maruti,maruti wagon r,610000.0,0,maharashtra,2,4,8
303,50000.0,0,maruti,maruti wagon r,450000.0,0,madhya pradesh,1,9,9
304,50000.0,0,maruti,maruti eeco,360000.0,0,haryana,1,7,8
308,100000.0,0,hyundai,hyundai santro xing,190000.0,0,uttar pradesh,1,13,0
309,21000.0,0,maruti,maruti celerio,650000.0,1,maharashtra,1,3,8
311,120000.0,0,maruti,maruti wagon r,250000.0,0,chandigarh,1,8,9
312,50000.0,0,hyundai,hyundai aura,650000.0,0,punjab,1,5,9
313,105253.0,0,maruti,maruti eeco,190000.0,1,haryana,1,11,8
